001  00119 |Loss: 2.266 | Acc: 15.067% 
001  00120 |Loss: 2.265 | Acc: 15.182% 
001  00121 |Loss: 2.264 | Acc: 15.289% 
001  00122 |Loss: 2.262 | Acc: 15.330% 
001  00123 |Loss: 2.261 | Acc: 15.422% 
001  00124 |Loss: 2.260 | Acc: 15.461% 
001  00125 |Loss: 2.259 | Acc: 15.525% 
001  00126 |Loss: 2.257 | Acc: 15.613% 
001  00127 |Loss: 2.256 | Acc: 15.680% 
001  00128 |Loss: 2.254 | Acc: 15.717% 
001  00129 |Loss: 2.253 | Acc: 15.795% 
001  00130 |Loss: 2.252 | Acc: 15.841% 
001  00131 |Loss: 2.250 | Acc: 15.923% 
001  00132 |Loss: 2.249 | Acc: 15.951% 
001  00133 |Loss: 2.247 | Acc: 16.036% 
001  00134 |Loss: 2.246 | Acc: 16.062% 
001  00135 |Loss: 2.244 | Acc: 16.169% 
001  00136 |Loss: 2.243 | Acc: 16.240% 
001  00137 |Loss: 2.240 | Acc: 16.355% 
001  00138 |Loss: 2.239 | Acc: 16.446% 
001  00139 |Loss: 2.237 | Acc: 16.502% 
001  00140 |Loss: 2.236 | Acc: 16.529% 
001  00141 |Loss: 2.235 | Acc: 16.572% 
001  00142 |Loss: 2.233 | Acc: 16.632% 
001  00143 |Loss: 2.231 | Acc: 16.674% 
001  00144 |Loss: 2.230 | Acc: 16.726% 
001  00145 |Loss: 2.229 | Acc: 16.773% 
001  00146 |Loss: 2.228 | Acc: 16.850% 
001  00147 |Loss: 2.227 | Acc: 16.932% 
001  00148 |Loss: 2.226 | Acc: 16.982% 
001  00149 |Loss: 2.224 | Acc: 17.062% 
001  00150 |Loss: 2.222 | Acc: 17.151% 
001  00151 |Loss: 2.221 | Acc: 17.224% 
001  00152 |Loss: 2.220 | Acc: 17.290% 
001  00153 |Loss: 2.219 | Acc: 17.346% 
001  00154 |Loss: 2.217 | Acc: 17.416% 
001  00155 |Loss: 2.215 | Acc: 17.465% 
001  00156 |Loss: 2.214 | Acc: 17.523% 
001  00157 |Loss: 2.212 | Acc: 17.566% 
001  00158 |Loss: 2.210 | Acc: 17.647% 
001  00159 |Loss: 2.209 | Acc: 17.733% 
001  00160 |Loss: 2.208 | Acc: 17.754% 
001  00161 |Loss: 2.206 | Acc: 17.818% 
001  00162 |Loss: 2.204 | Acc: 17.877% 
001  00163 |Loss: 2.203 | Acc: 17.945% 
001  00164 |Loss: 2.202 | Acc: 18.040% 
001  00165 |Loss: 2.201 | Acc: 18.111% 
001  00166 |Loss: 2.198 | Acc: 18.171% 
001  00167 |Loss: 2.198 | Acc: 18.203% 
001  00168 |Loss: 2.197 | Acc: 18.266% 
001  00169 |Loss: 2.196 | Acc: 18.325% 
001  00170 |Loss: 2.195 | Acc: 18.364% 
001  00171 |Loss: 2.194 | Acc: 18.439% 
001  00172 |Loss: 2.193 | Acc: 18.500% 
001  00173 |Loss: 2.191 | Acc: 18.551% 
001  00174 |Loss: 2.189 | Acc: 18.615% 
001  00175 |Loss: 2.189 | Acc: 18.652% 
001  00176 |Loss: 2.188 | Acc: 18.706% 
001  00177 |Loss: 2.187 | Acc: 18.732% 
001  00178 |Loss: 2.186 | Acc: 18.763% 
001  00179 |Loss: 2.184 | Acc: 18.855% 
001  00180 |Loss: 2.183 | Acc: 18.872% 
001  00181 |Loss: 2.182 | Acc: 18.901% 
001  00182 |Loss: 2.181 | Acc: 18.969% 
001  00183 |Loss: 2.179 | Acc: 19.019% 
001  00184 |Loss: 2.178 | Acc: 19.081% 
001  00185 |Loss: 2.178 | Acc: 19.130% 
001  00186 |Loss: 2.176 | Acc: 19.191% 
001  00187 |Loss: 2.176 | Acc: 19.218% 
001  00188 |Loss: 2.174 | Acc: 19.315% 
001  00189 |Loss: 2.173 | Acc: 19.349% 
001  00190 |Loss: 2.173 | Acc: 19.391% 
001  00191 |Loss: 2.171 | Acc: 19.429% 
001  00192 |Loss: 2.171 | Acc: 19.446% 
001  00193 |Loss: 2.169 | Acc: 19.495% 
001  00194 |Loss: 2.168 | Acc: 19.563% 
001  00195 |Loss: 2.167 | Acc: 19.643% 
001  00196 |Loss: 2.166 | Acc: 19.687% 
001  00197 |Loss: 2.164 | Acc: 19.769% 
001  00198 |Loss: 2.164 | Acc: 19.800% 
001  00199 |Loss: 2.162 | Acc: 19.861% 
001  00200 |Loss: 2.161 | Acc: 19.906% 
001  00201 |Loss: 2.159 | Acc: 19.959% 
001  00202 |Loss: 2.158 | Acc: 20.015% 
001  00203 |Loss: 2.157 | Acc: 20.066% 
001  00204 |Loss: 2.157 | Acc: 20.075% 
001  00205 |Loss: 2.156 | Acc: 20.114% 
001  00206 |Loss: 2.155 | Acc: 20.191% 
001  00207 |Loss: 2.154 | Acc: 20.214% 
001  00208 |Loss: 2.152 | Acc: 20.282% 
001  00209 |Loss: 2.151 | Acc: 20.312% 
001  00210 |Loss: 2.150 | Acc: 20.353% 
001  00211 |Loss: 2.149 | Acc: 20.387% 
001  00212 |Loss: 2.148 | Acc: 20.430% 
001  00213 |Loss: 2.147 | Acc: 20.452% 
001  00214 |Loss: 2.146 | Acc: 20.495% 
001  00215 |Loss: 2.146 | Acc: 20.520% 
001  00216 |Loss: 2.144 | Acc: 20.584% 
001  00217 |Loss: 2.143 | Acc: 20.640% 
001  00218 |Loss: 2.143 | Acc: 20.660% 
001  00219 |Loss: 2.142 | Acc: 20.705% 
001  00220 |Loss: 2.140 | Acc: 20.767% 
001  00221 |Loss: 2.139 | Acc: 20.825% 
001  00222 |Loss: 2.138 | Acc: 20.872% 
001  00223 |Loss: 2.137 | Acc: 20.936% 
001  00224 |Loss: 2.136 | Acc: 20.972% 
001  00225 |Loss: 2.135 | Acc: 21.010% 
001  00226 |Loss: 2.134 | Acc: 21.025% 
001  00227 |Loss: 2.134 | Acc: 21.039% 
001  00228 |Loss: 2.133 | Acc: 21.035% 
001  00229 |Loss: 2.132 | Acc: 21.066% 
001  00230 |Loss: 2.131 | Acc: 21.090% 
001  00231 |Loss: 2.130 | Acc: 21.138% 
001  00232 |Loss: 2.129 | Acc: 21.185% 
001  00233 |Loss: 2.128 | Acc: 21.201% 
001  00234 |Loss: 2.127 | Acc: 21.217% 
001  00235 |Loss: 2.127 | Acc: 21.257% 
001  00236 |Loss: 2.126 | Acc: 21.289% 
001  00237 |Loss: 2.125 | Acc: 21.311% 
001  00238 |Loss: 2.124 | Acc: 21.320% 
001  00239 |Loss: 2.123 | Acc: 21.365% 
001  00240 |Loss: 2.122 | Acc: 21.410% 
001  00241 |Loss: 2.122 | Acc: 21.431% 
001  00242 |Loss: 2.120 | Acc: 21.497% 
001  00243 |Loss: 2.119 | Acc: 21.544% 
001  00244 |Loss: 2.119 | Acc: 21.596% 
001  00245 |Loss: 2.118 | Acc: 21.645% 
001  00246 |Loss: 2.117 | Acc: 21.694% 
001  00247 |Loss: 2.116 | Acc: 21.726% 
001  00248 |Loss: 2.115 | Acc: 21.780% 
001  00249 |Loss: 2.114 | Acc: 21.812% 
001  00250 |Loss: 2.113 | Acc: 21.834% 
001  00251 |Loss: 2.112 | Acc: 21.863% 
001  00252 |Loss: 2.112 | Acc: 21.887% 
001  00253 |Loss: 2.111 | Acc: 21.918% 
001  00254 |Loss: 2.109 | Acc: 21.992% 
001  00255 |Loss: 2.108 | Acc: 22.047% 
001  00256 |Loss: 2.107 | Acc: 22.083% 
001  00257 |Loss: 2.106 | Acc: 22.115% 
001  00258 |Loss: 2.105 | Acc: 22.160% 
001  00259 |Loss: 2.104 | Acc: 22.201% 
001  00260 |Loss: 2.104 | Acc: 22.242% 
001  00261 |Loss: 2.103 | Acc: 22.261% 
001  00262 |Loss: 2.102 | Acc: 22.328% 
001  00263 |Loss: 2.101 | Acc: 22.341% 
001  00264 |Loss: 2.100 | Acc: 22.384% 
001  00265 |Loss: 2.099 | Acc: 22.420% 
001  00266 |Loss: 2.098 | Acc: 22.448% 
001  00267 |Loss: 2.097 | Acc: 22.472% 
001  00268 |Loss: 2.096 | Acc: 22.505% 
001  00269 |Loss: 2.095 | Acc: 22.566% 
001  00270 |Loss: 2.094 | Acc: 22.593% 
001  00271 |Loss: 2.093 | Acc: 22.619% 
001  00272 |Loss: 2.092 | Acc: 22.676% 
001  00273 |Loss: 2.091 | Acc: 22.708% 
001  00274 |Loss: 2.091 | Acc: 22.733% 
001  00275 |Loss: 2.090 | Acc: 22.750% 
001  00276 |Loss: 2.089 | Acc: 22.792% 
001  00277 |Loss: 2.088 | Acc: 22.837% 
001  00278 |Loss: 2.087 | Acc: 22.892% 
001  00279 |Loss: 2.086 | Acc: 22.922% 
001  00280 |Loss: 2.085 | Acc: 22.938% 
001  00281 |Loss: 2.085 | Acc: 22.948% 
001  00282 |Loss: 2.084 | Acc: 22.997% 
001  00283 |Loss: 2.083 | Acc: 23.037% 
001  00284 |Loss: 2.081 | Acc: 23.088% 
001  00285 |Loss: 2.081 | Acc: 23.117% 
001  00286 |Loss: 2.080 | Acc: 23.137% 
001  00287 |Loss: 2.079 | Acc: 23.173% 
001  00288 |Loss: 2.078 | Acc: 23.218% 
001  00289 |Loss: 2.077 | Acc: 23.273% 
001  00290 |Loss: 2.076 | Acc: 23.303% 
001  00291 |Loss: 2.076 | Acc: 23.344% 
001  00292 |Loss: 2.075 | Acc: 23.365% 
001  00293 |Loss: 2.074 | Acc: 23.403% 
001  00294 |Loss: 2.073 | Acc: 23.424% 
001  00295 |Loss: 2.072 | Acc: 23.480% 
001  00296 |Loss: 2.072 | Acc: 23.490% 
001  00297 |Loss: 2.071 | Acc: 23.537% 
001  00298 |Loss: 2.070 | Acc: 23.587% 
001  00299 |Loss: 2.069 | Acc: 23.623% 
001  00300 |Loss: 2.069 | Acc: 23.638% 
001  00301 |Loss: 2.068 | Acc: 23.669% 
001  00302 |Loss: 2.067 | Acc: 23.675% 
001  00303 |Loss: 2.066 | Acc: 23.695% 
001  00304 |Loss: 2.065 | Acc: 23.741% 
001  00305 |Loss: 2.065 | Acc: 23.768% 
001  00306 |Loss: 2.063 | Acc: 23.808% 
001  00307 |Loss: 2.063 | Acc: 23.829% 
001  00308 |Loss: 2.062 | Acc: 23.871% 
001  00309 |Loss: 2.061 | Acc: 23.920% 
001  00310 |Loss: 2.060 | Acc: 23.942% 
001  00311 |Loss: 2.059 | Acc: 23.957% 
001  00312 |Loss: 2.058 | Acc: 23.996% 
001  00313 |Loss: 2.057 | Acc: 24.014% 
001  00314 |Loss: 2.056 | Acc: 24.079% 
001  00315 |Loss: 2.055 | Acc: 24.134% 
001  00316 |Loss: 2.054 | Acc: 24.177% 
001  00317 |Loss: 2.053 | Acc: 24.211% 
001  00318 |Loss: 2.052 | Acc: 24.233% 
001  00319 |Loss: 2.051 | Acc: 24.270% 
001  00320 |Loss: 2.050 | Acc: 24.324% 
001  00321 |Loss: 2.049 | Acc: 24.372% 
001  00322 |Loss: 2.048 | Acc: 24.393% 
001  00323 |Loss: 2.048 | Acc: 24.415% 
001  00324 |Loss: 2.047 | Acc: 24.457% 
001  00325 |Loss: 2.046 | Acc: 24.469% 
001  00326 |Loss: 2.046 | Acc: 24.497% 
001  00327 |Loss: 2.045 | Acc: 24.520% 
001  00328 |Loss: 2.044 | Acc: 24.531% 
001  00329 |Loss: 2.044 | Acc: 24.587% 
001  00330 |Loss: 2.043 | Acc: 24.624% 
001  00331 |Loss: 2.042 | Acc: 24.646% 
001  00332 |Loss: 2.041 | Acc: 24.682% 
001  00333 |Loss: 2.040 | Acc: 24.709% 
001  00334 |Loss: 2.040 | Acc: 24.726% 
001  00335 |Loss: 2.039 | Acc: 24.734% 
001  00336 |Loss: 2.038 | Acc: 24.761% 
001  00337 |Loss: 2.038 | Acc: 24.789% 
001  00338 |Loss: 2.037 | Acc: 24.824% 
001  00339 |Loss: 2.036 | Acc: 24.846% 
001  00340 |Loss: 2.035 | Acc: 24.881% 
001  00341 |Loss: 2.034 | Acc: 24.918% 
001  00342 |Loss: 2.033 | Acc: 24.950% 
001  00343 |Loss: 2.032 | Acc: 24.993% 
001  00344 |Loss: 2.032 | Acc: 25.018% 
001  00345 |Loss: 2.031 | Acc: 25.061% 
001  00346 |Loss: 2.029 | Acc: 25.115% 
001  00347 |Loss: 2.029 | Acc: 25.140% 
001  00348 |Loss: 2.028 | Acc: 25.180% 
001  00349 |Loss: 2.027 | Acc: 25.224% 
001  00350 |Loss: 2.026 | Acc: 25.246% 
001  00351 |Loss: 2.025 | Acc: 25.303% 
001  00352 |Loss: 2.024 | Acc: 25.344% 
001  00353 |Loss: 2.023 | Acc: 25.381% 
001  00354 |Loss: 2.022 | Acc: 25.410% 
001  00355 |Loss: 2.022 | Acc: 25.431% 
001  00356 |Loss: 2.021 | Acc: 25.461% 
001  00357 |Loss: 2.020 | Acc: 25.508% 
001  00358 |Loss: 2.019 | Acc: 25.550% 
001  00359 |Loss: 2.018 | Acc: 25.583% 
001  00360 |Loss: 2.018 | Acc: 25.595% 
001  00361 |Loss: 2.017 | Acc: 25.638% 
001  00362 |Loss: 2.016 | Acc: 25.684% 
001  00363 |Loss: 2.015 | Acc: 25.712% 
001  00364 |Loss: 2.015 | Acc: 25.734% 
001  00365 |Loss: 2.014 | Acc: 25.771% 
001  00366 |Loss: 2.013 | Acc: 25.783% 
001  00367 |Loss: 2.012 | Acc: 25.807% 
001  00368 |Loss: 2.012 | Acc: 25.824% 
001  00369 |Loss: 2.010 | Acc: 25.870% 
001  00370 |Loss: 2.010 | Acc: 25.891% 
001  00371 |Loss: 2.009 | Acc: 25.939% 
001  00372 |Loss: 2.008 | Acc: 25.958% 
001  00373 |Loss: 2.007 | Acc: 25.984% 
001  00374 |Loss: 2.006 | Acc: 26.009% 
001  00375 |Loss: 2.006 | Acc: 26.065% 
001  00376 |Loss: 2.005 | Acc: 26.095% 
001  00377 |Loss: 2.004 | Acc: 26.107% 
001  00378 |Loss: 2.004 | Acc: 26.133% 
001  00379 |Loss: 2.003 | Acc: 26.179% 
001  00380 |Loss: 2.002 | Acc: 26.221% 
001  00381 |Loss: 2.002 | Acc: 26.241% 
001  00382 |Loss: 2.001 | Acc: 26.270% 
001  00383 |Loss: 2.000 | Acc: 26.297% 
001  00384 |Loss: 1.999 | Acc: 26.329% 
001  00385 |Loss: 1.998 | Acc: 26.384% 
001  00386 |Loss: 1.998 | Acc: 26.395% 
001  00387 |Loss: 1.997 | Acc: 26.415% 
001  00388 |Loss: 1.996 | Acc: 26.456% 
001  00389 |Loss: 1.995 | Acc: 26.484% 
001  00390 |Loss: 1.994 | Acc: 26.524% 
001  00391 |Loss: 1.994 | Acc: 26.559% 
001  00392 |Loss: 1.993 | Acc: 26.584% 
001  00393 |Loss: 1.992 | Acc: 26.632% 
001  00394 |Loss: 1.991 | Acc: 26.654% 
001  00395 |Loss: 1.990 | Acc: 26.679% 
