EPOCH=001,Accuracy= 17.850%
EPOCH=002,Accuracy= 29.730%
EPOCH=003,Accuracy= 43.620%
EPOCH=004,Accuracy= 50.070%
EPOCH=005,Accuracy= 51.200%
EPOCH=006,Accuracy= 59.530%
EPOCH=007,Accuracy= 50.880%
EPOCH=008,Accuracy= 36.610%
EPOCH=009,Accuracy= 46.790%
EPOCH=010,Accuracy= 54.670%
EPOCH=011,Accuracy= 54.610%
EPOCH=012,Accuracy= 48.350%
EPOCH=013,Accuracy= 42.890%
EPOCH=014,Accuracy= 64.660%
EPOCH=015,Accuracy= 57.730%
EPOCH=016,Accuracy= 52.450%
EPOCH=017,Accuracy= 59.370%
EPOCH=018,Accuracy= 48.580%
EPOCH=019,Accuracy= 52.680%
EPOCH=020,Accuracy= 44.870%
EPOCH=021,Accuracy= 44.270%
EPOCH=022,Accuracy= 61.050%
EPOCH=023,Accuracy= 58.000%
EPOCH=024,Accuracy= 66.480%
EPOCH=025,Accuracy= 53.780%
EPOCH=026,Accuracy= 53.570%
EPOCH=027,Accuracy= 53.180%
EPOCH=028,Accuracy= 33.610%
EPOCH=029,Accuracy= 36.740%
EPOCH=030,Accuracy= 62.400%
EPOCH=031,Accuracy= 51.590%
EPOCH=032,Accuracy= 50.350%
EPOCH=033,Accuracy= 48.500%
EPOCH=034,Accuracy= 58.800%
EPOCH=035,Accuracy= 59.700%
EPOCH=036,Accuracy= 53.570%
EPOCH=037,Accuracy= 44.580%
EPOCH=038,Accuracy= 43.700%
EPOCH=039,Accuracy= 53.750%
EPOCH=040,Accuracy= 57.470%
EPOCH=041,Accuracy= 54.470%
EPOCH=042,Accuracy= 53.890%
EPOCH=043,Accuracy= 54.430%
EPOCH=044,Accuracy= 61.260%
EPOCH=045,Accuracy= 64.120%
EPOCH=046,Accuracy= 39.780%
EPOCH=047,Accuracy= 57.720%
EPOCH=048,Accuracy= 66.570%
EPOCH=049,Accuracy= 48.690%
EPOCH=050,Accuracy= 67.240%
EPOCH=051,Accuracy= 42.210%
EPOCH=052,Accuracy= 50.820%
EPOCH=053,Accuracy= 37.710%
EPOCH=054,Accuracy= 58.690%
EPOCH=055,Accuracy= 55.260%
EPOCH=056,Accuracy= 29.350%
EPOCH=057,Accuracy= 57.010%
EPOCH=058,Accuracy= 50.790%
EPOCH=059,Accuracy= 54.570%
EPOCH=060,Accuracy= 27.810%
EPOCH=061,Accuracy= 50.120%
EPOCH=062,Accuracy= 40.030%
EPOCH=063,Accuracy= 60.910%
EPOCH=064,Accuracy= 45.980%
EPOCH=065,Accuracy= 50.870%
EPOCH=066,Accuracy= 60.370%
EPOCH=067,Accuracy= 55.190%
EPOCH=068,Accuracy= 55.500%
EPOCH=069,Accuracy= 50.320%
EPOCH=070,Accuracy= 50.580%
EPOCH=071,Accuracy= 61.890%
EPOCH=072,Accuracy= 45.830%
EPOCH=073,Accuracy= 65.080%
EPOCH=074,Accuracy= 64.750%
EPOCH=075,Accuracy= 57.840%
EPOCH=076,Accuracy= 63.210%
EPOCH=077,Accuracy= 52.980%
EPOCH=078,Accuracy= 66.630%
EPOCH=079,Accuracy= 41.830%
EPOCH=080,Accuracy= 49.330%
EPOCH=081,Accuracy= 60.210%
EPOCH=082,Accuracy= 55.800%
EPOCH=083,Accuracy= 62.290%
EPOCH=084,Accuracy= 66.230%
EPOCH=085,Accuracy= 66.590%
EPOCH=086,Accuracy= 62.820%
EPOCH=087,Accuracy= 48.530%
EPOCH=088,Accuracy= 49.480%
EPOCH=089,Accuracy= 67.410%
EPOCH=090,Accuracy= 60.350%
EPOCH=091,Accuracy= 63.780%
EPOCH=092,Accuracy= 52.010%
EPOCH=093,Accuracy= 54.670%
EPOCH=094,Accuracy= 66.170%
EPOCH=095,Accuracy= 67.150%
EPOCH=096,Accuracy= 43.700%
EPOCH=097,Accuracy= 62.110%
EPOCH=098,Accuracy= 68.390%
EPOCH=099,Accuracy= 62.610%
EPOCH=100,Accuracy= 68.310%
