001  00119 |Loss: 2.265 | Acc: 21.947% 
001  00120 |Loss: 2.262 | Acc: 21.979% 
001  00121 |Loss: 2.259 | Acc: 22.049% 
001  00122 |Loss: 2.255 | Acc: 22.106% 
001  00123 |Loss: 2.252 | Acc: 22.193% 
001  00124 |Loss: 2.249 | Acc: 22.272% 
001  00125 |Loss: 2.244 | Acc: 22.375% 
001  00126 |Loss: 2.240 | Acc: 22.470% 
001  00127 |Loss: 2.237 | Acc: 22.509% 
001  00128 |Loss: 2.235 | Acc: 22.620% 
001  00129 |Loss: 2.233 | Acc: 22.662% 
001  00130 |Loss: 2.232 | Acc: 22.698% 
001  00131 |Loss: 2.229 | Acc: 22.776% 
001  00132 |Loss: 2.227 | Acc: 22.822% 
001  00133 |Loss: 2.224 | Acc: 22.891% 
001  00134 |Loss: 2.220 | Acc: 23.018% 
001  00135 |Loss: 2.218 | Acc: 23.108% 
001  00136 |Loss: 2.216 | Acc: 23.150% 
001  00137 |Loss: 2.212 | Acc: 23.244% 
001  00138 |Loss: 2.209 | Acc: 23.358% 
001  00139 |Loss: 2.207 | Acc: 23.460% 
001  00140 |Loss: 2.205 | Acc: 23.493% 
001  00141 |Loss: 2.202 | Acc: 23.565% 
001  00142 |Loss: 2.199 | Acc: 23.647% 
001  00143 |Loss: 2.195 | Acc: 23.705% 
001  00144 |Loss: 2.192 | Acc: 23.790% 
001  00145 |Loss: 2.190 | Acc: 23.836% 
001  00146 |Loss: 2.188 | Acc: 23.924% 
001  00147 |Loss: 2.185 | Acc: 24.017% 
001  00148 |Loss: 2.182 | Acc: 24.124% 
001  00149 |Loss: 2.179 | Acc: 24.187% 
001  00150 |Loss: 2.175 | Acc: 24.292% 
001  00151 |Loss: 2.172 | Acc: 24.333% 
001  00152 |Loss: 2.169 | Acc: 24.424% 
001  00153 |Loss: 2.167 | Acc: 24.454% 
001  00154 |Loss: 2.164 | Acc: 24.543% 
001  00155 |Loss: 2.160 | Acc: 24.662% 
001  00156 |Loss: 2.158 | Acc: 24.715% 
001  00157 |Loss: 2.155 | Acc: 24.816% 
001  00158 |Loss: 2.152 | Acc: 24.857% 
