EPOCH=001,Accuracy= 32.190%
EPOCH=002,Accuracy= 50.272%
EPOCH=003,Accuracy= 61.916%
EPOCH=004,Accuracy= 69.976%
EPOCH=005,Accuracy= 75.388%
EPOCH=006,Accuracy= 80.062%
EPOCH=007,Accuracy= 83.424%
EPOCH=008,Accuracy= 86.100%
EPOCH=009,Accuracy= 88.168%
EPOCH=010,Accuracy= 89.680%
EPOCH=011,Accuracy= 90.888%
EPOCH=012,Accuracy= 91.594%
EPOCH=013,Accuracy= 92.396%
EPOCH=014,Accuracy= 92.846%
EPOCH=015,Accuracy= 92.972%
EPOCH=016,Accuracy= 94.184%
EPOCH=017,Accuracy= 93.794%
EPOCH=018,Accuracy= 94.104%
EPOCH=019,Accuracy= 94.750%
EPOCH=020,Accuracy= 94.696%
EPOCH=021,Accuracy= 94.590%
EPOCH=022,Accuracy= 94.836%
EPOCH=023,Accuracy= 94.756%
EPOCH=024,Accuracy= 95.162%
EPOCH=025,Accuracy= 94.868%
EPOCH=026,Accuracy= 95.638%
EPOCH=027,Accuracy= 95.218%
EPOCH=028,Accuracy= 94.962%
EPOCH=029,Accuracy= 95.448%
EPOCH=030,Accuracy= 95.774%
EPOCH=031,Accuracy= 95.336%
EPOCH=032,Accuracy= 95.506%
EPOCH=033,Accuracy= 95.826%
EPOCH=034,Accuracy= 95.528%
EPOCH=035,Accuracy= 95.662%
EPOCH=036,Accuracy= 95.706%
EPOCH=037,Accuracy= 96.010%
EPOCH=038,Accuracy= 96.084%
EPOCH=039,Accuracy= 95.894%
EPOCH=040,Accuracy= 96.084%
EPOCH=041,Accuracy= 96.004%
EPOCH=042,Accuracy= 96.082%
EPOCH=043,Accuracy= 95.948%
EPOCH=044,Accuracy= 96.194%
EPOCH=045,Accuracy= 96.398%
EPOCH=046,Accuracy= 96.166%
EPOCH=047,Accuracy= 96.108%
EPOCH=048,Accuracy= 96.766%
EPOCH=049,Accuracy= 96.306%
EPOCH=050,Accuracy= 96.540%
EPOCH=051,Accuracy= 96.174%
EPOCH=052,Accuracy= 96.972%
EPOCH=053,Accuracy= 96.720%
EPOCH=054,Accuracy= 96.230%
EPOCH=055,Accuracy= 96.586%
EPOCH=056,Accuracy= 96.870%
EPOCH=057,Accuracy= 96.612%
EPOCH=058,Accuracy= 96.818%
EPOCH=059,Accuracy= 96.898%
EPOCH=060,Accuracy= 96.796%
EPOCH=061,Accuracy= 96.870%
EPOCH=062,Accuracy= 97.008%
EPOCH=063,Accuracy= 96.814%
EPOCH=064,Accuracy= 97.318%
EPOCH=065,Accuracy= 97.070%
EPOCH=066,Accuracy= 96.892%
EPOCH=067,Accuracy= 97.076%
EPOCH=068,Accuracy= 97.512%
EPOCH=069,Accuracy= 97.314%
EPOCH=070,Accuracy= 96.834%
EPOCH=071,Accuracy= 97.488%
EPOCH=072,Accuracy= 97.232%
EPOCH=073,Accuracy= 97.130%
EPOCH=074,Accuracy= 97.542%
EPOCH=075,Accuracy= 97.498%
EPOCH=076,Accuracy= 97.248%
EPOCH=077,Accuracy= 97.644%
EPOCH=078,Accuracy= 97.754%
EPOCH=079,Accuracy= 97.450%
EPOCH=080,Accuracy= 97.524%
EPOCH=081,Accuracy= 97.938%
EPOCH=082,Accuracy= 98.080%
EPOCH=083,Accuracy= 97.846%
EPOCH=084,Accuracy= 97.592%
EPOCH=085,Accuracy= 97.748%
EPOCH=086,Accuracy= 97.890%
EPOCH=087,Accuracy= 98.186%
EPOCH=088,Accuracy= 97.772%
EPOCH=089,Accuracy= 98.268%
EPOCH=090,Accuracy= 98.194%
EPOCH=091,Accuracy= 97.924%
EPOCH=092,Accuracy= 98.158%
EPOCH=093,Accuracy= 98.560%
EPOCH=094,Accuracy= 98.332%
EPOCH=095,Accuracy= 97.910%
EPOCH=096,Accuracy= 97.988%
EPOCH=097,Accuracy= 98.526%
EPOCH=098,Accuracy= 98.724%
EPOCH=099,Accuracy= 98.408%
EPOCH=100,Accuracy= 98.114%
