001  00119 |Loss: 3.853 | Acc: 10.590% 
001  00120 |Loss: 3.840 | Acc: 10.599% 
001  00121 |Loss: 3.827 | Acc: 10.634% 
001  00122 |Loss: 3.814 | Acc: 10.621% 
001  00123 |Loss: 3.802 | Acc: 10.607% 
001  00124 |Loss: 3.790 | Acc: 10.604% 
001  00125 |Loss: 3.778 | Acc: 10.606% 
001  00126 |Loss: 3.766 | Acc: 10.606% 
001  00127 |Loss: 3.755 | Acc: 10.615% 
001  00128 |Loss: 3.743 | Acc: 10.641% 
001  00129 |Loss: 3.733 | Acc: 10.641% 
001  00130 |Loss: 3.722 | Acc: 10.640% 
001  00131 |Loss: 3.712 | Acc: 10.657% 
001  00132 |Loss: 3.701 | Acc: 10.668% 
001  00133 |Loss: 3.690 | Acc: 10.703% 
001  00134 |Loss: 3.680 | Acc: 10.710% 
001  00135 |Loss: 3.670 | Acc: 10.715% 
001  00136 |Loss: 3.660 | Acc: 10.708% 
001  00137 |Loss: 3.650 | Acc: 10.758% 
001  00138 |Loss: 3.640 | Acc: 10.793% 
001  00139 |Loss: 3.630 | Acc: 10.808% 
001  00140 |Loss: 3.623 | Acc: 10.818% 
001  00141 |Loss: 3.614 | Acc: 10.829% 
001  00142 |Loss: 3.604 | Acc: 10.841% 
001  00143 |Loss: 3.595 | Acc: 10.834% 
001  00144 |Loss: 3.586 | Acc: 10.834% 
001  00145 |Loss: 3.577 | Acc: 10.854% 
001  00146 |Loss: 3.568 | Acc: 10.905% 
001  00147 |Loss: 3.559 | Acc: 10.922% 
001  00148 |Loss: 3.550 | Acc: 10.972% 
001  00149 |Loss: 3.542 | Acc: 10.982% 
001  00150 |Loss: 3.534 | Acc: 10.971% 
001  00151 |Loss: 3.526 | Acc: 10.963% 
001  00152 |Loss: 3.518 | Acc: 10.968% 
001  00153 |Loss: 3.510 | Acc: 11.001% 
001  00154 |Loss: 3.502 | Acc: 11.047% 
001  00155 |Loss: 3.494 | Acc: 11.048% 
001  00156 |Loss: 3.486 | Acc: 11.073% 
001  00157 |Loss: 3.478 | Acc: 11.114% 
001  00158 |Loss: 3.471 | Acc: 11.135% 
001  00159 |Loss: 3.463 | Acc: 11.129% 
001  00160 |Loss: 3.456 | Acc: 11.116% 
001  00161 |Loss: 3.448 | Acc: 11.141% 
001  00162 |Loss: 3.441 | Acc: 11.147% 
001  00163 |Loss: 3.433 | Acc: 11.153% 
001  00164 |Loss: 3.426 | Acc: 11.173% 
001  00165 |Loss: 3.419 | Acc: 11.207% 
001  00166 |Loss: 3.412 | Acc: 11.210% 
001  00167 |Loss: 3.405 | Acc: 11.209% 
001  00168 |Loss: 3.398 | Acc: 11.240% 
001  00169 |Loss: 3.391 | Acc: 11.270% 
001  00170 |Loss: 3.384 | Acc: 11.287% 
001  00171 |Loss: 3.378 | Acc: 11.342% 
001  00172 |Loss: 3.371 | Acc: 11.378% 
001  00173 |Loss: 3.364 | Acc: 11.409% 
001  00174 |Loss: 3.358 | Acc: 11.416% 
001  00175 |Loss: 3.352 | Acc: 11.444% 
001  00176 |Loss: 3.346 | Acc: 11.481% 
001  00177 |Loss: 3.339 | Acc: 11.505% 
001  00178 |Loss: 3.333 | Acc: 11.545% 
001  00179 |Loss: 3.327 | Acc: 11.575% 
001  00180 |Loss: 3.321 | Acc: 11.612% 
001  00181 |Loss: 3.315 | Acc: 11.632% 
001  00182 |Loss: 3.308 | Acc: 11.676% 
001  00183 |Loss: 3.302 | Acc: 11.723% 
001  00184 |Loss: 3.296 | Acc: 11.759% 
001  00185 |Loss: 3.291 | Acc: 11.772% 
001  00186 |Loss: 3.286 | Acc: 11.796% 
001  00187 |Loss: 3.280 | Acc: 11.823% 
001  00188 |Loss: 3.274 | Acc: 11.870% 
001  00189 |Loss: 3.268 | Acc: 11.903% 
001  00190 |Loss: 3.262 | Acc: 11.918% 
001  00191 |Loss: 3.257 | Acc: 11.956% 
001  00192 |Loss: 3.251 | Acc: 11.995% 
001  00193 |Loss: 3.245 | Acc: 12.020% 
001  00194 |Loss: 3.239 | Acc: 12.051% 
001  00195 |Loss: 3.234 | Acc: 12.085% 
001  00196 |Loss: 3.228 | Acc: 12.104% 
002  00197 |Loss: 2.187 | Acc: 17.969% 
002  00198 |Loss: 2.170 | Acc: 19.531% 
002  00199 |Loss: 2.142 | Acc: 20.182% 
002  00200 |Loss: 2.125 | Acc: 19.434% 
002  00201 |Loss: 2.128 | Acc: 19.375% 
002  00202 |Loss: 2.129 | Acc: 19.466% 
002  00203 |Loss: 2.131 | Acc: 18.806% 
002  00204 |Loss: 2.127 | Acc: 19.043% 
002  00205 |Loss: 2.121 | Acc: 19.227% 
002  00206 |Loss: 2.116 | Acc: 19.336% 
002  00207 |Loss: 2.119 | Acc: 19.815% 
002  00208 |Loss: 2.115 | Acc: 19.759% 
002  00209 |Loss: 2.112 | Acc: 19.742% 
002  00210 |Loss: 2.110 | Acc: 19.671% 
002  00211 |Loss: 2.115 | Acc: 19.401% 
002  00212 |Loss: 2.116 | Acc: 19.263% 
002  00213 |Loss: 2.114 | Acc: 19.095% 
002  00214 |Loss: 2.117 | Acc: 18.793% 
