001  00119 |Loss: 3.946 | Acc: 10.485% 
001  00120 |Loss: 3.932 | Acc: 10.508% 
001  00121 |Loss: 3.918 | Acc: 10.544% 
001  00122 |Loss: 3.905 | Acc: 10.553% 
001  00123 |Loss: 3.892 | Acc: 10.582% 
001  00124 |Loss: 3.879 | Acc: 10.629% 
001  00125 |Loss: 3.866 | Acc: 10.669% 
001  00126 |Loss: 3.853 | Acc: 10.727% 
001  00127 |Loss: 3.841 | Acc: 10.765% 
001  00128 |Loss: 3.829 | Acc: 10.797% 
001  00129 |Loss: 3.817 | Acc: 10.816% 
001  00130 |Loss: 3.805 | Acc: 10.841% 
001  00131 |Loss: 3.794 | Acc: 10.872% 
001  00132 |Loss: 3.783 | Acc: 10.920% 
001  00133 |Loss: 3.772 | Acc: 10.943% 
001  00134 |Loss: 3.760 | Acc: 10.967% 
001  00135 |Loss: 3.749 | Acc: 11.007% 
001  00136 |Loss: 3.739 | Acc: 10.989% 
001  00137 |Loss: 3.728 | Acc: 11.012% 
001  00138 |Loss: 3.718 | Acc: 11.073% 
001  00139 |Loss: 3.708 | Acc: 11.067% 
001  00140 |Loss: 3.698 | Acc: 11.094% 
001  00141 |Loss: 3.688 | Acc: 11.093% 
001  00142 |Loss: 3.678 | Acc: 11.081% 
001  00143 |Loss: 3.669 | Acc: 11.101% 
001  00144 |Loss: 3.659 | Acc: 11.149% 
001  00145 |Loss: 3.650 | Acc: 11.175% 
001  00146 |Loss: 3.640 | Acc: 11.200% 
001  00147 |Loss: 3.631 | Acc: 11.214% 
001  00148 |Loss: 3.622 | Acc: 11.270% 
001  00149 |Loss: 3.613 | Acc: 11.278% 
001  00150 |Loss: 3.604 | Acc: 11.286% 
001  00151 |Loss: 3.595 | Acc: 11.310% 
001  00152 |Loss: 3.586 | Acc: 11.338% 
001  00153 |Loss: 3.577 | Acc: 11.392% 
001  00154 |Loss: 3.569 | Acc: 11.430% 
001  00155 |Loss: 3.560 | Acc: 11.457% 
001  00156 |Loss: 3.552 | Acc: 11.463% 
001  00157 |Loss: 3.543 | Acc: 11.515% 
001  00158 |Loss: 3.535 | Acc: 11.630% 
001  00159 |Loss: 3.526 | Acc: 11.709% 
001  00160 |Loss: 3.518 | Acc: 11.724% 
001  00161 |Loss: 3.510 | Acc: 11.748% 
001  00162 |Loss: 3.502 | Acc: 11.772% 
001  00163 |Loss: 3.494 | Acc: 11.839% 
001  00164 |Loss: 3.486 | Acc: 11.885% 
001  00165 |Loss: 3.478 | Acc: 11.927% 
001  00166 |Loss: 3.470 | Acc: 11.987% 
001  00167 |Loss: 3.463 | Acc: 12.032% 
001  00168 |Loss: 3.455 | Acc: 12.091% 
001  00169 |Loss: 3.448 | Acc: 12.102% 
001  00170 |Loss: 3.440 | Acc: 12.100% 
001  00171 |Loss: 3.433 | Acc: 12.153% 
001  00172 |Loss: 3.426 | Acc: 12.164% 
001  00173 |Loss: 3.419 | Acc: 12.175% 
001  00174 |Loss: 3.411 | Acc: 12.195% 
001  00175 |Loss: 3.404 | Acc: 12.259% 
001  00176 |Loss: 3.396 | Acc: 12.305% 
001  00177 |Loss: 3.389 | Acc: 12.385% 
001  00178 |Loss: 3.382 | Acc: 12.381% 
001  00179 |Loss: 3.375 | Acc: 12.417% 
001  00180 |Loss: 3.369 | Acc: 12.457% 
001  00181 |Loss: 3.362 | Acc: 12.500% 
001  00182 |Loss: 3.355 | Acc: 12.530% 
001  00183 |Loss: 3.348 | Acc: 12.602% 
001  00184 |Loss: 3.341 | Acc: 12.640% 
001  00185 |Loss: 3.335 | Acc: 12.673% 
001  00186 |Loss: 3.328 | Acc: 12.685% 
001  00187 |Loss: 3.322 | Acc: 12.734% 
001  00188 |Loss: 3.315 | Acc: 12.787% 
001  00189 |Loss: 3.310 | Acc: 12.789% 
001  00190 |Loss: 3.303 | Acc: 12.845% 
001  00191 |Loss: 3.297 | Acc: 12.864% 
001  00192 |Loss: 3.291 | Acc: 12.911% 
001  00193 |Loss: 3.284 | Acc: 12.970% 
001  00194 |Loss: 3.278 | Acc: 13.048% 
001  00195 |Loss: 3.272 | Acc: 13.089% 
001  00196 |Loss: 3.266 | Acc: 13.142% 
001  00197 |Loss: 3.260 | Acc: 13.170% 
001  00198 |Loss: 3.254 | Acc: 13.206% 
001  00199 |Loss: 3.248 | Acc: 13.269% 
001  00200 |Loss: 3.242 | Acc: 13.293% 
001  00201 |Loss: 3.236 | Acc: 13.308% 
001  00202 |Loss: 3.230 | Acc: 13.316% 
001  00203 |Loss: 3.224 | Acc: 13.374% 
001  00204 |Loss: 3.219 | Acc: 13.366% 
001  00205 |Loss: 3.214 | Acc: 13.415% 
001  00206 |Loss: 3.209 | Acc: 13.463% 
001  00207 |Loss: 3.203 | Acc: 13.470% 
001  00208 |Loss: 3.198 | Acc: 13.477% 
001  00209 |Loss: 3.193 | Acc: 13.506% 
001  00210 |Loss: 3.187 | Acc: 13.519% 
001  00211 |Loss: 3.182 | Acc: 13.544% 
001  00212 |Loss: 3.178 | Acc: 13.580% 
