001  00001 |Loss: 2.526 | Acc: 7.812% 
001  00002 |Loss: 2.483 | Acc: 11.328% 
001  00003 |Loss: 2.479 | Acc: 11.458% 
001  00004 |Loss: 2.471 | Acc: 10.352% 
001  00005 |Loss: 2.445 | Acc: 10.312% 
001  00006 |Loss: 2.424 | Acc: 10.938% 
001  00007 |Loss: 2.413 | Acc: 10.268% 
001  00008 |Loss: 2.402 | Acc: 9.863% 
001  00009 |Loss: 2.390 | Acc: 10.069% 
001  00010 |Loss: 2.380 | Acc: 10.469% 
001  00011 |Loss: 2.369 | Acc: 10.724% 
001  00012 |Loss: 2.361 | Acc: 11.003% 
001  00013 |Loss: 2.349 | Acc: 11.719% 
001  00014 |Loss: 2.340 | Acc: 11.998% 
001  00015 |Loss: 2.334 | Acc: 12.135% 
001  00016 |Loss: 2.327 | Acc: 12.500% 
001  00017 |Loss: 2.321 | Acc: 12.960% 
001  00018 |Loss: 2.316 | Acc: 13.194% 
001  00019 |Loss: 2.311 | Acc: 13.363% 
001  00020 |Loss: 2.304 | Acc: 13.633% 
001  00021 |Loss: 2.297 | Acc: 13.839% 
001  00022 |Loss: 2.291 | Acc: 13.991% 
001  00023 |Loss: 2.284 | Acc: 14.436% 
001  00024 |Loss: 2.280 | Acc: 14.616% 
001  00025 |Loss: 2.278 | Acc: 14.688% 
001  00026 |Loss: 2.274 | Acc: 14.874% 
001  00027 |Loss: 2.270 | Acc: 14.931% 
001  00028 |Loss: 2.264 | Acc: 15.206% 
001  00029 |Loss: 2.258 | Acc: 15.490% 
001  00030 |Loss: 2.251 | Acc: 15.938% 
001  00031 |Loss: 2.246 | Acc: 16.205% 
001  00032 |Loss: 2.240 | Acc: 16.455% 
001  00033 |Loss: 2.235 | Acc: 16.809% 
001  00034 |Loss: 2.228 | Acc: 17.325% 
001  00035 |Loss: 2.220 | Acc: 17.701% 
001  00036 |Loss: 2.214 | Acc: 17.990% 
001  00037 |Loss: 2.209 | Acc: 18.222% 
001  00038 |Loss: 2.205 | Acc: 18.442% 
001  00039 |Loss: 2.199 | Acc: 18.590% 
001  00040 |Loss: 2.194 | Acc: 18.750% 
001  00041 |Loss: 2.188 | Acc: 19.055% 
001  00042 |Loss: 2.183 | Acc: 19.048% 
001  00043 |Loss: 2.181 | Acc: 19.132% 
001  00044 |Loss: 2.175 | Acc: 19.300% 
001  00045 |Loss: 2.172 | Acc: 19.392% 
001  00046 |Loss: 2.169 | Acc: 19.616% 
001  00047 |Loss: 2.164 | Acc: 19.797% 
001  00048 |Loss: 2.158 | Acc: 20.150% 
001  00049 |Loss: 2.154 | Acc: 20.281% 
001  00050 |Loss: 2.150 | Acc: 20.500% 
001  00051 |Loss: 2.147 | Acc: 20.634% 
001  00052 |Loss: 2.145 | Acc: 20.868% 
001  00053 |Loss: 2.139 | Acc: 21.197% 
001  00054 |Loss: 2.135 | Acc: 21.369% 
001  00055 |Loss: 2.132 | Acc: 21.477% 
001  00056 |Loss: 2.130 | Acc: 21.666% 
001  00057 |Loss: 2.125 | Acc: 21.944% 
001  00058 |Loss: 2.120 | Acc: 22.212% 
001  00059 |Loss: 2.118 | Acc: 22.312% 
001  00060 |Loss: 2.115 | Acc: 22.422% 
001  00061 |Loss: 2.111 | Acc: 22.541% 
001  00062 |Loss: 2.106 | Acc: 22.782% 
001  00063 |Loss: 2.102 | Acc: 22.966% 
001  00064 |Loss: 2.098 | Acc: 23.169% 
001  00065 |Loss: 2.092 | Acc: 23.341% 
001  00066 |Loss: 2.088 | Acc: 23.520% 
001  00067 |Loss: 2.085 | Acc: 23.647% 
001  00068 |Loss: 2.082 | Acc: 23.748% 
001  00069 |Loss: 2.078 | Acc: 23.913% 
001  00070 |Loss: 2.075 | Acc: 23.973% 
001  00071 |Loss: 2.071 | Acc: 24.098% 
001  00072 |Loss: 2.068 | Acc: 24.154% 
001  00073 |Loss: 2.066 | Acc: 24.251% 
001  00074 |Loss: 2.063 | Acc: 24.345% 
001  00075 |Loss: 2.059 | Acc: 24.479% 
001  00076 |Loss: 2.056 | Acc: 24.476% 
001  00077 |Loss: 2.052 | Acc: 24.584% 
001  00078 |Loss: 2.049 | Acc: 24.700% 
001  00079 |Loss: 2.045 | Acc: 24.881% 
001  00080 |Loss: 2.041 | Acc: 25.010% 
001  00081 |Loss: 2.038 | Acc: 25.145% 
001  00082 |Loss: 2.035 | Acc: 25.276% 
001  00083 |Loss: 2.030 | Acc: 25.433% 
001  00084 |Loss: 2.026 | Acc: 25.595% 
001  00085 |Loss: 2.023 | Acc: 25.680% 
001  00086 |Loss: 2.021 | Acc: 25.672% 
001  00087 |Loss: 2.017 | Acc: 25.835% 
001  00088 |Loss: 2.014 | Acc: 25.941% 
001  00089 |Loss: 2.010 | Acc: 26.124% 
001  00090 |Loss: 2.008 | Acc: 26.172% 
001  00091 |Loss: 2.005 | Acc: 26.322% 
001  00092 |Loss: 2.002 | Acc: 26.520% 
001  00093 |Loss: 1.998 | Acc: 26.655% 
001  00094 |Loss: 1.995 | Acc: 26.795% 
001  00095 |Loss: 1.992 | Acc: 26.883% 
