EPOCH=001,Accuracy= 44.178%
EPOCH=002,Accuracy= 67.384%
EPOCH=003,Accuracy= 75.496%
EPOCH=004,Accuracy= 79.496%
EPOCH=005,Accuracy= 82.162%
EPOCH=006,Accuracy= 84.090%
EPOCH=007,Accuracy= 85.342%
EPOCH=008,Accuracy= 86.402%
EPOCH=009,Accuracy= 87.118%
EPOCH=010,Accuracy= 88.038%
EPOCH=011,Accuracy= 88.438%
EPOCH=012,Accuracy= 88.806%
EPOCH=013,Accuracy= 89.520%
EPOCH=014,Accuracy= 89.692%
EPOCH=015,Accuracy= 89.956%
EPOCH=016,Accuracy= 90.306%
EPOCH=017,Accuracy= 90.278%
EPOCH=018,Accuracy= 90.482%
EPOCH=019,Accuracy= 90.776%
EPOCH=020,Accuracy= 90.946%
EPOCH=021,Accuracy= 90.874%
EPOCH=022,Accuracy= 91.110%
EPOCH=023,Accuracy= 91.262%
EPOCH=024,Accuracy= 91.114%
EPOCH=025,Accuracy= 91.302%
EPOCH=026,Accuracy= 91.538%
EPOCH=027,Accuracy= 91.486%
EPOCH=028,Accuracy= 91.680%
EPOCH=029,Accuracy= 91.586%
EPOCH=030,Accuracy= 91.822%
EPOCH=031,Accuracy= 91.978%
EPOCH=032,Accuracy= 91.736%
EPOCH=033,Accuracy= 91.978%
EPOCH=034,Accuracy= 92.002%
EPOCH=035,Accuracy= 92.084%
EPOCH=036,Accuracy= 92.148%
EPOCH=037,Accuracy= 92.186%
EPOCH=038,Accuracy= 92.322%
EPOCH=039,Accuracy= 92.040%
EPOCH=040,Accuracy= 92.514%
EPOCH=041,Accuracy= 92.402%
EPOCH=042,Accuracy= 92.440%
EPOCH=043,Accuracy= 92.556%
EPOCH=044,Accuracy= 92.534%
EPOCH=045,Accuracy= 92.578%
EPOCH=046,Accuracy= 92.700%
EPOCH=047,Accuracy= 92.630%
EPOCH=048,Accuracy= 93.038%
EPOCH=049,Accuracy= 92.868%
EPOCH=050,Accuracy= 92.950%
EPOCH=051,Accuracy= 93.090%
EPOCH=052,Accuracy= 93.148%
EPOCH=053,Accuracy= 93.180%
EPOCH=054,Accuracy= 93.124%
EPOCH=055,Accuracy= 93.474%
EPOCH=056,Accuracy= 93.248%
EPOCH=057,Accuracy= 93.388%
EPOCH=058,Accuracy= 93.666%
EPOCH=059,Accuracy= 93.458%
EPOCH=060,Accuracy= 93.656%
EPOCH=061,Accuracy= 93.526%
EPOCH=062,Accuracy= 93.538%
EPOCH=063,Accuracy= 93.868%
EPOCH=064,Accuracy= 94.030%
EPOCH=065,Accuracy= 93.834%
EPOCH=066,Accuracy= 94.122%
EPOCH=067,Accuracy= 94.216%
EPOCH=068,Accuracy= 93.970%
EPOCH=069,Accuracy= 94.344%
EPOCH=070,Accuracy= 94.470%
EPOCH=071,Accuracy= 94.218%
EPOCH=072,Accuracy= 94.546%
EPOCH=073,Accuracy= 94.426%
EPOCH=074,Accuracy= 94.674%
EPOCH=075,Accuracy= 94.702%
EPOCH=076,Accuracy= 94.542%
EPOCH=077,Accuracy= 94.888%
EPOCH=078,Accuracy= 95.048%
EPOCH=079,Accuracy= 94.670%
EPOCH=080,Accuracy= 95.032%
EPOCH=081,Accuracy= 94.950%
EPOCH=082,Accuracy= 95.130%
EPOCH=083,Accuracy= 95.214%
EPOCH=084,Accuracy= 95.226%
EPOCH=085,Accuracy= 95.302%
EPOCH=086,Accuracy= 95.688%
EPOCH=087,Accuracy= 95.424%
EPOCH=088,Accuracy= 95.716%
EPOCH=089,Accuracy= 95.400%
EPOCH=090,Accuracy= 95.690%
EPOCH=091,Accuracy= 95.616%
EPOCH=092,Accuracy= 95.978%
EPOCH=093,Accuracy= 95.850%
EPOCH=094,Accuracy= 95.994%
EPOCH=095,Accuracy= 95.888%
EPOCH=096,Accuracy= 96.120%
EPOCH=097,Accuracy= 95.996%
